,time,sats,long,lat,velocity,heading,height,vert-vel,gps-longacc,turn-radius,centre-line-deviation,abshead,longacc,latacc,rel-height
time,1.0,0.4977205247024648,-0.8750272609552584,0.8204809874389698,0.2834483107392043,0.10457158915575841,0.5567591378587761,-0.0030649616583545993,-0.05020101638053692,0.2672260002216234,0.18916023914181745,0.03257536643508059,-0.02495452466591893,0.004308124754041749,0.7570423503006165
sats,0.4977205247024648,1.0,-0.4993913523800973,0.30356137185766663,0.2731789006595058,0.17535870196919479,0.5445330784551966,0.00019878529536515105,-0.02230222650039742,0.2684859776789565,0.07984124281087031,-0.030391606408290084,0.15580411898001126,0.09708208103840923,0.504091151611254
long,-0.8750272609552584,-0.4993913523800973,1.0,-0.7310763385750674,-0.08589841293416768,0.020929552767224805,-0.47702762682948635,0.048016117230287716,0.035530283801849236,-0.08479285019528704,-0.5392137499989464,-0.09532670319283297,0.021966301292728144,-0.025586974368180037,-0.6147188626408393
lat,0.8204809874389698,0.30356137185766663,-0.7310763385750674,1.0,-0.02371459466575428,-0.19111330352953115,0.23157469856695767,-0.01833321003703177,-0.03201598318766118,-0.011715377757470415,0.43683086736415877,0.27398528311879183,-0.020490519385123893,0.0174488547219781,0.434956628192284
velocity,0.2834483107392043,0.2731789006595058,-0.08589841293416768,-0.02371459466575428,1.0,0.7010199955087358,0.3673157272232763,-0.0036709495530293876,-0.0398599625408254,0.9588435215259198,-0.49551823906164916,-0.1637156728825955,0.0003082678479725359,-0.020529793894842368,0.3965473760970496
heading,0.10457158915575841,0.17535870196919479,0.020929552767224805,-0.19111330352953115,0.7010199955087358,1.0,0.33499334598357255,0.05904444231244782,-0.028152743390173707,0.6564968609440615,-0.3858716837685749,-0.20499159967097233,0.013080510148204782,-0.012262701689016076,0.30042893641614654
height,0.5567591378587761,0.5445330784551966,-0.47702762682948635,0.23157469856695767,0.3673157272232763,0.33499334598357255,1.0,0.006575268143380441,-0.029298098918887076,0.3373673560472062,-0.015454882274852628,0.06197482360316795,0.056612737533666566,0.040556020221129786,0.9396837436615673
vert-vel,-0.0030649616583545993,0.00019878529536515105,0.048016117230287716,-0.01833321003703177,-0.0036709495530293876,0.05904444231244782,0.006575268143380441,1.0,0.006813834284857111,0.00847071731465564,-0.11506931599216716,-0.003112349571277104,0.013147415806541938,0.022749937952401007,-0.001703181529625864
gps-longacc,-0.05020101638053692,-0.02230222650039742,0.035530283801849236,-0.03201598318766118,-0.0398599625408254,-0.028152743390173707,-0.029298098918887076,0.006813834284857111,1.0,-0.028268929768958822,0.028724018491106996,0.010430264398781947,0.417529035408818,-0.0822466130361358,-0.03991577220707368
turn-radius,0.2672260002216234,0.2684859776789565,-0.08479285019528704,-0.011715377757470415,0.9588435215259198,0.6564968609440615,0.3373673560472062,0.00847071731465564,-0.028268929768958822,1.0,-0.4502742392171936,-0.1576980634532175,0.013118766729822975,0.0033618321410811194,0.3703756851012909
centre-line-deviation,0.18916023914181745,0.07984124281087031,-0.5392137499989464,0.43683086736415877,-0.49551823906164916,-0.3858716837685749,-0.015454882274852628,-0.11506931599216716,0.028724018491106996,-0.4502742392171936,1.0,0.36500733851359035,0.00947902981781319,0.06261866463161801,-0.024133230995798092
abshead,0.03257536643508059,-0.030391606408290084,-0.09532670319283297,0.27398528311879183,-0.1637156728825955,-0.20499159967097233,0.06197482360316795,-0.003112349571277104,0.010430264398781947,-0.1576980634532175,0.36500733851359035,1.0,0.005045204297855758,0.006831195274671178,0.044070385758588675
longacc,-0.02495452466591893,0.15580411898001126,0.021966301292728144,-0.020490519385123893,0.0003082678479725359,0.013080510148204782,0.056612737533666566,0.013147415806541938,0.417529035408818,0.013118766729822975,0.00947902981781319,0.005045204297855758,1.0,0.16886923391775624,0.009396778874797921
latacc,0.004308124754041749,0.09708208103840923,-0.025586974368180037,0.0174488547219781,-0.020529793894842368,-0.012262701689016076,0.040556020221129786,0.022749937952401007,-0.0822466130361358,0.0033618321410811194,0.06261866463161801,0.006831195274671178,0.16886923391775624,1.0,0.023475689733385333
rel-height,0.7570423503006165,0.504091151611254,-0.6147188626408393,0.434956628192284,0.3965473760970496,0.30042893641614654,0.9396837436615673,-0.001703181529625864,-0.03991577220707368,0.3703756851012909,-0.024133230995798092,0.044070385758588675,0.009396778874797921,0.023475689733385333,1.0
