,std,mean,min,max
time,4325.936559659233,77659.7328516049,71437.15,84045.65
sats,1.7439098860457023,8.173016488845775,0.0,10.0
long,0.05986488229353286,118.76063140383805,118.6690838,118.82562022
lat,0.030485137106056468,31.911849286445218,31.869233181,31.977200956999997
velocity,38.14613301641089,29.913103317167767,0.0,112.7522
heading,119.49864114227816,94.97913559650833,0.0,358.75
height,9.62164200351313,17.98686860653086,0.0,60.771
vert-vel,0.595999481620734,0.014205858389912677,-3.69,3.888
gps-longacc,0.05067366407903826,0.0030382153249272487,-0.483,0.366
turn-radius,383.9279084197916,300.2999091968957,0.0,1000.0
centre-line-deviation,2375.267804077566,-898.231599438021,-7753.0,2233.0
abshead,552.7224011777369,-1238.4472095053343,-2204.2,17.028
longacc,0.11655656270150155,-0.005270029097963137,-2.917,0.247
latacc,0.21612230054924214,-0.017959844810863275,-9.673,1.0290000000000001
rel-height,10.987990504032018,10.960476799224073,-0.9635,53.0023
